,Infinitiv,Präsens_ich,Präsens_ich*,Präsens_du,Präsens_du*,"Präsens_er,sie,es",Präteritum_ich,Präteritum_ich*,Partizip II,Partizip II*,Konjunktiv II_ich,Konjunktiv II_ich*,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*,Bild,Bild 1,Bild 2,Bild 3,Bild 4,Infinitif
1305,einatmen,atme ein,,atmest ein,,atmet ein,atmete ein,,eingeatmet,,atmete ein,,atme ein,,,atmet ein,,haben,,,,,,,Inspirer
1306,auffliegen,fliege auf,,fliegst auf,,fliegt auf,flog auf,,aufgeflogen,,flöge auf,,flieg auf,fliege auf,,fliegt auf,,sein,,,,,,,Voler
1307,federn,federe,,federst,,federt,federte,,gefedert,,federte,,feder,federe,,federt,,haben,,A New Method of Macarony Making as practised at Boston in North America.jpg|mini|1|er wurde ''gefedert'',,,,,plumes
1308,klatschen,klatsche,,klatschst,klatscht,klatscht,klatschte,,geklatscht,,klatschte,,klatsch,klatsche,,klatscht,klatschet,haben,,,Arabic arts festival applause.jpg|150px|1|[[Zuschauer]] ''klatschen'' [[Beifall]],FC Salzburg gegen Borussia Dortmund (EL Achtelfinale Rückspiel 15. März 2018) 37.jpg|150px|1|Ein [[Fußballprofi]] ''klatscht'' in die [[Hand|Hände]] und [[bedanken|bedankt]] sich so bei den [[Fan]]s.,,,taper
1309,gestalten,gestalte,,gestaltest,,gestaltet,gestaltete,,gestaltet,,gestaltete,,gestalt,gestalte,,gestaltet,,haben,,,,,,,conception
1310,schubsen,schubse,,schubst,,schubst,schubste,,geschubst,,schubste,,schubs,schubse,,schubst,,haben,,,,,,,pousser
1311,ausstehen,stehe aus,,stehst aus,,steht aus,stand aus,,ausgestanden,,stünde aus,,steh aus,,,steht aus,,haben,,,,,,,rester
1312,andenken,denke an,,denkst an,,denkt an,dachte an,,angedacht,,dächte an,,denk an,denke an,,denkt an,,haben,,,,,,,souvenir
1313,hegen,hege,,hegst,,hegt,hegte,,gehegt,,hegte,,heg,hege,,hegt,,haben,,,,,,,chérir
1314,abstimmen,stimme ab,,stimmst ab,,stimmt ab,stimmte ab,,abgestimmt,,stimmte ab,,stimm ab,,,stimmt ab,,haben,,,,,,,vote
1315,unterbringen,bringe unter,,bringst unter,,bringt unter,brachte unter,,untergebracht,,brächte unter,,bring unter,bringe unter,,bringt unter,,haben,,,,,,,accommoder
1316,ordnen,ordne,,ordnest,,ordnet,ordnete,,geordnet,,ordnete,,ordne,,,ordnet,,haben,,,,,,,organiser
1317,vermitteln,vermittle,,vermittelst,,vermittelt,vermittelte,,vermittelt,,vermittelte,,vermittle,,,vermittelt,,haben,,,,,,,transmettre
1318,installieren,installiere,,installierst,,installiert,installierte,,installiert,,installierte,,installiere,installier,,installiert,,haben,,,,,,,à installer
1319,beruhen,—,,—,,beruht,beruhte,,beruht,,beruhte,,—,,,—,,haben,,,,,,,basé
1320,grillen,grille,,grillst,,grillt,grillte,,gegrillt,,grillte,,grille,grill,,grillt,,haben,,"Grillen2.jpg|mini|1|ein Mann, der in geselliger Runde ''grillt''",,,,,grillage
1321,beabsichtigen,beabsichtige,,beabsichtigst,,beabsichtigt,beabsichtigte,,beabsichtigt,,beabsichtigte,,beabsichtige,,,beabsichtigt,,haben,,,,,,,à l'intention
1322,davonlaufen,laufe davon,,läufst davon,,läuft davon,lief davon,,davongelaufen,,liefe davon,,lauf davon,laufe davon,,lauft davon,,sein,,,,,,,fuyez
1323,schonen,schone,,schonst,,schont,schonte,,geschont,,schonte,,schone,schon,,schont,,haben,,,,,,,protéger
1324,hetzen,hetze,,hetzt,,hetzt,hetzte,,gehetzt,,hetzte,,hetz,hetze,,hetzt,,haben,sein,,,,,,se précipiter
1325,streicheln,streichle,,streichelst,,streichelt,streichelte,,gestreichelt,,streichelte,,streichle,streichele,,streichelt,,haben,,Woman child petting goat.jpg|thumb|1|ein [[Zicklein]] ''streicheln'',,,,,accident vasculaire cérébral
1326,anweisen,weise an,,weist an,,weist an,wies an,,angewiesen,,wiese an,,weise an,,,weist an,,haben,,,,,,,instruire
1327,rauschen,rausche,,rauschst,rauscht,rauscht,rauschte,,gerauscht,,rauschte,,rausche,,,rauscht,,haben,sein,,,,,,se précipiter
1328,kräftigen,kräftige,,kräftigst,,kräftigt,kräftigte,,gekräftigt,,kräftigte,,kräftig,kräftige,,kräftigt,,haben,,,,,,,renforcer
1329,verschlingen,verschlinge,,verschlingst,,verschlingt,verschlang,,verschlungen,,verschlänge,,verschlinge,verschling,,verschlingt,,haben,,,,,,,dévorer
1330,wimmern,wimmere,,wimmerst,,wimmert,wimmerte,,gewimmert,,wimmerte,,wimmere,,,wimmert,,haben,,,,,,,gémissement
1331,vermieten,vermiete,,vermietest,,vermietet,vermietete,,vermietet,,vermietete,,vermiete,,,vermietet,,haben,,,,,,,louer
1332,blühen,blühe,,blühst,,blüht,blühte,,geblüht,,blühte,,blühe,,,blüht,,haben,,Narcissus pseudonarcissus 030405.jpg|thumb|1|diese [[Osterglocke]]n ''blühen'',,,,,floraison
1333,preisen,preise,,preist,,preist,pries,,gepriesen,,priese,,preise,,,preist,,haben,,,,,,,louer
1334,lecken,lecke,,leckst,,leckt,leckte,,geleckt,,leckte,,lecke,,,leckt,,haben,,,,,,,lécher
1335,ansagen,sage an,,sagst an,,sagt an,sagte an,,angesagt,,sagte an,,sag an,sage an,,sagt an,,haben,,,,,,,annoncer
1336,frühstücken,frühstücke,,frühstückst,,frühstückt,frühstückte,,gefrühstückt,,frühstückte,,frühstücke,,,frühstückt,,haben,,,,,,,prendre le petit-déjeuner
1337,festlegen,lege fest,,legst fest,,legt fest,legte fest,,festgelegt,,legte fest,,lege fest,,,legt fest,,haben,,,,,,,établir
1338,einlegen,lege ein,,legst ein,,legt ein,legte ein,,eingelegt,,legte ein,,leg ein,lege ein,,legt ein,,haben,,Bell &amp; Howell Filmo 16 mm projector.webm|mini|1|einen [[Film]] in einen [[Projektor]] ''einlegen'' und [[abspielen]],,,,,insérer
1339,einleiten,leite ein,,leitest ein,,leitet ein,leitete ein,,eingeleitet,,leitete ein,,leit ein,leite ein,,leitet ein,,haben,,,,,,,lancer
1340,definieren,definiere,,definierst,,definiert,definierte,,definiert,,definierte,,definiere,definier,,definiert,,haben,,,,,,,définir
1341,klappern,klappere,,klapperst,,klappert,klapperte,,geklappert,,klapperte,,klappere,,,klappert,,haben,sein,,,,,,bruit
1342,vergrößern,vergrößere,,vergrößerst,,vergrößert,vergrößerte,,vergrößert,,vergrößerte,,vergrößere,vergrößer,,vergrößert,,haben,,,,,,,agrandir
1343,weiterfahren,fahre weiter,,fährst weiter,,fährt weiter,fuhr weiter,,weitergefahren,,führe weiter,,fahr weiter,,,fahrt weiter,,sein,,,,,,,continuer
1344,übertreffen,übertreffe,,übertriffst,,übertrifft,übertraf,,übertroffen,,überträfe,,übertriff,,,übertrefft,,haben,,,,,,,dépasser
1345,versiegeln,versiegle,,versiegelst,,versiegelt,versiegelte,,versiegelt,,versiegelte,,versiegle,,,versiegelt,,haben,,,,,,,à sceller
1346,abfangen,fange ab,,fängst ab,,fängt ab,fing ab,,abgefangen,,finge ab,,fange ab,,,fangt ab,,haben,,,,,,,intercepter
1347,hinkommen,komme hin,,kommst hin,,kommt hin,kam hin,,hingekommen,,käme hin,,komm hin,komme hin,,kommt hin,,sein,,,,,,,y arriver
1348,zuschauen,schaue zu,,schaust zu,,schaut zu,schaute zu,,zugeschaut,,schaute zu,,schau zu,schaue zu,,schaut zu,,haben,,Weismain Waldstadion Auflaufen der Mannschaften.jpg|mini|1|4000 Fans ''schauen'' den Fußballern ''zu'',,,,,montre
1349,verbluten,verblute,,verblutest,,verblutet,verblutete,,verblutet,,verblutete,,verblut,verblute,,verblutet,,sein,,,,,,,Saigner à mort
1350,bohren,bohre,,bohrst,,bohrt,bohrte,,gebohrt,,bohrte,,bohr,,,bohrt,,haben,,Drilling operation on a steel bar.ogv|miniatur|1a|''Bohren'' eines [[Loch]]es in ein [[U-Profil]] aus [[Stahl]] mit einer [[Standbohrmaschine]],,,,,percer
1351,vollenden,vollende,,vollendest,,vollendet,vollendete,,vollendet,,vollendete,,vollende,,,vollendet,,haben,,,,,,,complet
1352,rammen,ramme,,rammst,,rammt,rammte,,gerammt,,rammte,,ramme,,,rammt,,haben,,,,,,,RAM
1353,wickeln,wickle,,wickelst,,wickelt,wickelte,,gewickelt,,wickelte,,wickle,,,wickelt,,haben,,,Poopy bath.jpg|thumb|1|ein [[Baby]] wird ''gewickelt'',Takling.jpg|thumb|2|beim [[Takling]] wird [[Takelgarn]] [[zigfach]] um das [[Ende]] eines [[Seil]]s ''gewickelt'',,,envelopper
1354,kreisen,kreise,,kreist,,kreist,kreiste,,gekreist,,kreiste,,kreise,,,kreist,,sein,,,,,,,cercle
1355,schnüffeln,schnüffle,schnüffele,schnüffelst,,schnüffelt,schnüffelte,,geschnüffelt,,schnüffelte,,schnüffel,schnüffle,,schnüffelt,,haben,,,,,,,renifler
1356,eiern,eiere,,eierst,,eiert,eierte,,geeiert,,eierte,,eiere,,,eiert,,haben,sein,,,,,,œufs
1357,kassieren,kassiere,,kassierst,,kassiert,kassierte,,kassiert,,kassierte,,kassiere,kassier,,kassiert,,haben,,,,,,,collecter
1358,zähnen,zähne,,zähnst,,zähnt,zähnte,,gezähnt,,zähnte,,zähn,zähne,,zähnt,,haben,,,,,,,dents
1359,pesen,pese,,pest,,pest,peste,,gepest,,peste,,pes,pese,,pest,,sein,,,,,,,dépenses
1360,beschlagnahmen,beschlagnahme,,beschlagnahmst,,beschlagnahmt,beschlagnahmte,,beschlagnahmt,,beschlagnahmte,,beschlagnahm,beschlagnahme,,beschlagnahmt,,haben,,,,,,,confisquer
1361,verknallen,verknalle,,verknallst,,verknallt,verknallte,,verknallt,,verknallte,,verknall,verknalle,,verknallt,,haben,,,,,,,écraser
1362,umkommen,komme um,,kommst um,,kommt um,kam um,,umgekommen,,käme um,,komm um,komme um,,kommt um,,sein,,,,,,,périr
1363,trommeln,trommele,,trommelst,,trommelt,trommelte,,getrommelt,,trommelte,,trommel,trommele,,trommelt,,haben,,,,,,,tambours
1364,lähmen,lähme,,lähmst,,lähmt,lähmte,,gelähmt,,lähmte,,lähme,,,lähmt,,haben,,,,,,,paralyser
1365,erschüttern,erschüttere,,erschütterst,,erschüttert,erschütterte,,erschüttert,,erschütterte,,erschüttere,,,erschüttert,,haben,,,,,,,secouer
1366,glänzen,glänze,,glänzt,,glänzt,glänzte,,geglänzt,,glänzte,,glänze,glänz,,glänzt,,haben,,,,,,,briller
1367,streben,strebe,,strebst,,strebt,strebte,,gestrebt,,strebte,,strebe,,,strebt,,haben,,,,,,,aspirer
1368,abhören,höre ab,,hörst ab,,hört ab,hörte ab,,abgehört,,hörte ab,,hör ab,höre ab,,hört ab,,haben,,,,,,,écouter
1369,blamieren,blamiere,,blamierst,,blamiert,blamierte,,blamiert,,blamierte,,blamier,blamiere,,blamiert,,haben,,,,,,,embarrasser
1370,lauern,lauere,,lauerst,,lauert,lauerte,,gelauert,,lauerte,,lauere,,,lauert,,haben,,,,,,,se cacher
1371,wildern,wildere,,wilderst,,wildert,wilderte,,gewildert,,wilderte,,wildere,,,wildert,,haben,,,,,,,braconnage
1372,zurückzahlen,zahle zurück,,zahlst zurück,,zahlt zurück,zahlte zurück,,zurückgezahlt,,zahlt zurück,,zahl zurück,zahle zurück,,zahlt zurück,,haben,,,,,,,rembourser
1373,erfolgen,—,,—,,erfolgt,erfolgte,,erfolgt,,erfolgte,,—,,,—,,sein,,,,,,,prend place
1374,profitieren,profitiere,,profitierst,,profitiert,profitierte,,profitiert,,profitierte,,profitiere,profitier,,profitiert,,haben,,,,,,,avantage
1375,staunen,staune,,staunst,,staunt,staunte,,gestaunt,,staunte,,staun,staune,,staunt,,haben,,,,,,,merveille
1376,grinsen,grinse,,grinst,,grinst,grinste,,gegrinst,,grinste,,grinse,,,grinst,,haben,,,,,,,sourire
1377,lokalisieren,lokalisiere,,lokalisierst,,lokalisiert,lokalisierte,,lokalisiert,,lokalisierte,,lokalisiere,lokalisier,,lokalisiert,,haben,,,,,,,Localiser
1378,verscheiden,verscheide,,verscheidest,,verscheidet,verschied,,verschieden,,verschiede,,verscheide,,,verscheidet,,sein,,,,,,,différent
1379,vornehmen,nehme vor,,nimmst vor,,nimmt vor,nahm vor,,vorgenommen,,nähme vor,,nimm vor,,,nehmt vor,,haben,,,,,,,faire
1380,hinreißen,reiße hin,,reißt hin,,reißt hin,riss hin,,hingerissen,,risse hin,,reiß hin,reiße hin,,reißt hin,,haben,,,,,,,ravir
1381,anspannen,spanne an,,spannst an,,spannt an,spannte an,,angespannt,,spannte an,,spann an,spanne an,,spannt an,,haben,,,,,,,se tendre
1382,lagern,lagere,,lagerst,,lagert,lagerte,,gelagert,,lagerte,,lagere,lager,,lagert,,haben,,,,,,,ranger
1383,ausüben,übe aus,,übst aus,,übt aus,übte aus,,ausgeübt,,übte aus,,übe aus,,,übt aus,,haben,,,,,,,exercice
1384,enthüllen,enthülle,,enthüllst,,enthüllt,enthüllte,,enthüllt,,enthüllte,,enthülle,enthüll,,enthüllt,,haben,,,,,,,révéler
1385,ersticken,ersticke,,erstickst,,erstickt,erstickte,,erstickt,,erstickte,,ersticke,,,erstickt,,sein,haben,,,,,,étouffer
1386,vergießen,vergieße,,vergießt,,vergießt,vergoss,,vergossen,,vergösse,,vergieße,,,vergießt,vergießet,haben,,,,,,,hangar
1387,andeuten,deute an,,deutest an,,deutet an,deutete an,,angedeutet,,deutete an,,deute an,,,deutet an,,haben,,,,,,,indiquer
1388,ausgraben,grabe aus,,gräbst aus,,gräbt aus,grub aus,,ausgegraben,,grübe aus,,grab aus,grabe aus,,grabt aus,,haben,,,,,,,déterrer
1389,wiederfinden,finde wieder,,findest wieder,,findet wieder,fand wieder,,wiedergefunden,,fände wieder,,finde wieder,,,findet wieder,,haben,,,,,,,trouve encore
1390,überdenken,überdenke,,überdenkst,,überdenkt,überdachte,,überdacht,,überdächte,,überdenke,,,überdenkt,,haben,,,,,,,repenser
1391,speisen,speise,,speist,,speist,speiste,,gespeist,gespiesen,speiste,,speise,,,speiset,,haben,,,,,,,Nourriture
1392,freigeben,gebe frei,,gibst frei,,gibt frei,gab frei,,freigegeben,,gäbe frei,,gib frei,,,gebt frei,,haben,,,,,,,libérer
1393,winken,winke,,winkst,,winkt,winkte,,gewinkt,gewunken,winkte,,winke,,,winkt,,haben,,Driver hand waving.jpg|thumb|1|jemand ''winkt'' aus dem Auto,,,,,vague
1394,beschränken,beschränke,,beschränkst,,beschränkt,beschränkte,,beschränkt,,beschränkte,,beschränk,beschränke,,beschränkt,,haben,,,,,,,limiter
1395,begleichen,begleiche,,begleichst,,begleicht,beglich,,beglichen,,begliche,,begleiche,,,begleicht,,haben,,,,,,,régler
1396,erpressen,erpresse,,erpresst,,erpresst,erpresste,,erpresst,,erpresste,,erpress,erpresse,,erpresst,,haben,,,,,,,chantage
1397,wiedererkennen,erkenne wieder,,erkennst wieder,,erkennt wieder,erkannte wieder,,wiedererkannt,,erkennte wieder,,erkenn wieder,erkenne wieder,,erkennt wieder,,haben,,,,,,,reconnaître
1398,ausweichen,weiche aus,,weichst aus,,weicht aus,wich aus,,ausgewichen,,wiche aus,,weiche aus,,,weicht aus,,sein,,,,,,,éluder
1399,verschlucken,verschlucke,,verschluckst,,verschluckt,verschluckte,,verschluckt,,verschluckte,,verschluck,verschlucke,,verschluckt,,haben,,,,,,,avaler
1400,vertuschen,vertusche,,vertuschst,,vertuscht,vertuschte,,vertuscht,,vertuschte,,vertusch,vertusche,,vertuscht,,haben,,,,,,,couvrir
1401,verpfeifen,verpfeife,,verpfeifst,,verpfeift,verpfiff,,verpfiffen,,verpfiffe,,verpfeif,verpfeife,,verpfeift,,haben,,,,,,,mouchard
1402,zunehmen,nehme zu,,nimmst zu,,nimmt zu,nahm zu,,zugenommen,,nähme zu,,nimm zu,,,nehmt zu,,haben,,,"Population growth-SLO.svg|thumb|1|Die [[Bevölkerung]] hat als Resultat von [[Geburt]]en, [[Tod]]en und [[Migration]]en in [[Slowenien]] zwischen 1997 und 2008 ''zugenommen.''","Buclin.jpg|thumb|3|Er hat [[zuviel]] ''zugenommen,'' er sollte seiner [[Gesundheit]] [[zuliebe]] wieder [[abnehmen]].",,,prendre du poids
1403,rahmen,rahme,,rahmst,,rahmt,rahmte,,gerahmt,,rahmte,,rahm,rahme,,rahmt,,haben,,,,,,,cadre
1404,hausen,hause,,haust,,haust,hauste,,gehaust,,hauste,,hause,,,haust,,haben,,,,,,,hausen
1405,speichern,speichere,,speicherst,,speichert,speicherte,,gespeichert,,speicherte,,speichere,,,speichert,,haben,,,,,,,sauvegarder
1406,umstellen,umstelle,,umstellst,,umstellt,umstellte,,umstellt,,umstellte,,umstelle,umstell,,umstellt,,haben,,,,,,,changement
1407,erkälten,erkälte,,erkältest,,erkältet,erkältete,,erkältet,,erkältete,,erkälte,,,erkältet,,haben,,,,,,,attraper un rhume
1408,realisieren,realisiere,,realisierst,,realisiert,realisierte,,realisiert,,realisierte,,realisiere,realisier,,realisiert,,haben,,,,,,,réaliser
1409,erwidern,erwidere,,erwiderst,,erwidert,erwiderte,,erwidert,,erwiderte,,erwidere,,,erwidert,,haben,,,,,,,répondre
1410,abgehen,gehe ab,,gehst ab,,geht ab,ging ab,,abgegangen,,ginge ab,,geh ab,,,geht ab,,sein,,Tapete_löst_sich.jpg|230px|2|Die Tapete ''geht'' von der Wand ''ab''.,,,,,Partir
1411,nachgeben,gebe nach,,gibst nach,,gibt nach,gab nach,,nachgegeben,,gäbe nach,,gib nach,,,gebt nach,,haben,,,,,,,donner
1412,wurzeln,wurzele,,wurzelst,,wurzelt,wurzelte,,gewurzelt,,wurzelte,,wurzel,wurzle,,wurzelt,,haben,,,,,,,racine
1413,einsehen,sehe ein,,siehst ein,,sieht ein,sah ein,,eingesehen,,sähe ein,,sieh ein,,,seht ein,,haben,,,,,,,voir
1414,versäumen,versäume,,versäumst,,versäumt,versäumte,,versäumt,,versäumte,,versäume,,,versäumt,,haben,,,,,,,manquer
1415,aufladen,lade auf,,lädst auf,,lädt auf,lud auf,,aufgeladen,,lüde auf,,lade auf,,,ladet auf,,haben,,,,,,,charge
1416,murmeln,murmle,murmel,murmelst,,murmelt,murmelte,,gemurmelt,,murmelte,,murmle,murmel,,murmelt,,haben,,,,,,,marmonner
1417,schuften,schufte,,schuftest,,schuftet,schuftete,,geschuftet,,schuftete,,schufte,schuft,,schuftet,,haben,,,,,,,labeur
1418,fernhalten,halte fern,,hältst fern,,hält fern,hielt fern,,ferngehalten,,hielte fern,,halt fern,halte fern,,haltet fern,,haben,,,,,,,tenir à l'écart
1419,lutschen,lutsche,,lutschst,lutscht,lutscht,lutschte,,gelutscht,,lutschte,,lutsch,lutsche,,lutscht,,haben,,,,,,,sucer
1420,bereden,berede,,beredest,,beredet,beredete,,beredet,,beredete,,bered,berede,,beredet,,haben,,,,,,,discuter
1421,vorsehen,sehe vor,,siehst vor,,sieht vor,sah vor,,vorgesehen,,sähe vor,,sieh vor,,,seht vor,,haben,,,,,,,fournir
1422,aufzeichnen,zeichne auf,,zeichnest auf,,zeichnet auf,zeichnete auf,,aufgezeichnet,,zeichnete auf,,zeichne auf,,,zeichnet auf,,haben,,,,,,,enregistrer
1423,summen,summe,,summst,,summt,summte,,gesummt,,summte,,summe,,,summt,,haben,,,,,,,bourdonner
1424,borgen,borge,,borgst,,borgt,borgte,,geborgt,,borgte,,borge,borg,,borgt,borget,haben,,,,,,,emprunter
1425,heimkommen,komme heim,,kommst heim,,kommt heim,kam heim,,heimgekommen,,käme heim,,komm heim,komme heim,,kommt heim,,sein,,,,,,,viens à la maison
1426,dastehen,stehe da,,stehst da,,steht da,stand da,,dagestanden,,stünde da,,steh da,,,steht da,,haben,sein,,,,,,reste là
1427,peitschen,peitsche,,peitschst,peitscht,peitscht,peitschte,,gepeitscht,,peitschte,,peitsch,peitsche,,peitscht,,haben,,,,,,,fouet
1428,involvieren,involviere,,involvierst,,involviert,involvierte,,involviert,,involvierte,,involvier,involviere,,involviert,,haben,,,,,,,impliquer
1429,würgen,würge,,würgst,,würgt,würgte,,gewürgt,,würgte,,würge,,,würgt,,haben,,,,,,,étrangler
1430,verschreiben,verschreibe,,verschreibst,,verschreibt,verschrieb,,verschrieben,,verschriebe,,verschreibe,verschreib,,verschreibt,,haben,,,,,,,prescrire
1431,loslegen,lege los,,legst los,,legt los,legte los,,losgelegt,,legte los,,leg los,lege los,,legt los,,haben,,,,,,,commencer
1432,überweisen,überweise,,überweist,,überweist,überwies,,überwiesen,,überwiese,,überweise,überweis,,überweist,,haben,,,,,,,transfert
1433,aufführen,führe auf,,führst auf,,führt auf,führte auf,,aufgeführt,,führte auf,,führ auf,führe auf,,führt auf,,haben,,,,,,,liste
1434,herhören,höre her,,hörst her,,hört her,hörte her,,hergehört,,hörte her,,hör her,höre her,,hört her,,haben,,,,,,,écouter
1435,beistehen,stehe bei,,stehst bei,,steht bei,stand bei,,beigestanden,,stände bei,stünde bei,steh bei,stehe bei,,steht bei,,haben,,,,,,,assister
1436,einbauen,baue ein,,baust ein,,baut ein,baute ein,,eingebaut,,baute ein,,bau ein,baue ein,,baut ein,,haben,,,,,,,installer
1437,piepsen,piepse,,piepst,,piepst,piepste,,gepiepst,,piepste,,piepse,,,piepst,,haben,,,,,,,bip
1438,bestehlen,bestehle,,bestiehlst,,bestiehlt,bestahl,,bestohlen,,bestähle,bestöhle,bestiehl,bestehle,,bestehlt,,haben,,,,,,,voler a quelqu'un
1439,zerquetschen,zerquetsche,,zerquetschst,zerquetscht,zerquetscht,zerquetschte,,zerquetscht,,zerquetschte,,zerquetsch,zerquetsche,,zerquetscht,,haben,,,,,,,écraser
1440,schnallen,schnalle,,schnallst,,schnallt,schnallte,,geschnallt,,schnallte,,schnall,schnalle,,schnallt,,haben,,,,,,,Boucle
1441,mitgehen,gehe mit,,gehst mit,,geht mit,ging mit,,mitgegangen,,ginge mit,,geh mit,gehe mit,,geht mit,,sein,,,,,,,aller le long de
1442,einstecken,stecke ein,,steckst ein,,steckt ein,steckte ein,,eingesteckt,,steckte ein,,steck ein,stecke ein,,steckt ein,,haben,,Afghan man at the ballot box during Loya jirga.jpg|210px|1|ein Wahlzettel wird in die Wahlurne ''eingesteckt'',,,,,brancher
1443,vormachen,mache vor,,machst vor,,macht vor,machte vor,,vorgemacht,,machte vor,,mach vor,mache vor,,macht vor,,haben,,,,,,,démontrer
1444,erkundigen,erkundige,,erkundigst,,erkundigt,erkundigte,,erkundigt,,erkundigte,,erkundige,,,erkundigt,,haben,,,,,,,renseigner
1445,zurückbleiben,bleibe zurück,,bleibst zurück,,bleibt zurück,blieb zurück,,zurückgeblieben,,bliebe zurück,,bleib zurück,bleibe zurück,,bleibt zurück,,sein,,,,,,,rester en arrière
1446,fördern,fördere,,förderst,,fördert,förderte,,gefördert,,förderte,,fördere,,,fördert,,haben,,,,,,,soutenir financièrement
1447,berauben,beraube,,beraubst,,beraubt,beraubte,,beraubt,,beraubte,,beraub,beraube,,beraubt,,haben,,,,,,,priver
1448,aufschlitzen,schlitze auf,,schlitzt auf,,schlitzt auf,schlitzte auf,,aufgeschlitzt,,schlitzte auf,,schlitz auf,schlitze auf,,schlitzt auf,,haben,,,,,,,sabrer
1449,repräsentieren,repräsentiere,,repräsentierst,,repräsentiert,repräsentierte,,repräsentiert,,repräsentierte,,repräsentiere,repräsentier,,repräsentiert,,haben,,,,,,,représenter
1450,erfassen,erfasse,,erfasst,,erfasst,erfasste,,erfasst,,erfasste,,erfasse,erfass,,erfasst,,haben,,,,,,,capturer
1451,verblüffen,verblüffe,,verblüffst,,verblüfft,verblüffte,,verblüfft,,verblüffte,,verblüffe,,,verblüfft,,haben,,,,,,,étonner
1452,beängstigen,beängstige,,beängstigst,,beängstigt,beängstigte,,beängstigt,,beängstigte,,beängstig,beängstige,,beängstigt,,haben,,,,,,,effrayer
1453,plündern,plündere,,plünderst,,plündert,plünderte,,geplündert,,plünderte,,plündre,plündere,,plündert,,haben,,,,,,,pillage
1454,hüpfen,hüpfe,,hüpfst,,hüpft,hüpfte,,gehüpft,,hüpfte,,hüpfe,,,hüpft,,sein,,Impala leaping from water.jpg|mini|1|ein Impala ''hüpft'' durch das flache Wasser,,"Poweriser, Brněnské běhy 2010.ogv|mini|1|[[auf]] und [[ab]] ''hüpfen'' mit [[mechanisch]]er [[Unterstützung]]",,,saut
1455,erbitten,erbitte,,erbittest,,erbittet,erbat,,erbeten,,erbäte,,erbitte,,,erbittet,,haben,,,,,,,demande
1456,spülen,spüle,,spülst,,spült,spülte,,gespült,,spülte,,spül,spüle,,spült,,haben,,,Washing dishes at LGC.jpg|mini|1|ein Arbeiter ''spült'' Geschirr,,,,laver
1457,verriegeln,verriegle,verriegele,verriegelst,,verriegelt,verriegelte,,verriegelt,,verriegelte,,verriegle,verriegele,,verriegelt,,haben,,,,,,,verrouillage
1458,schiefgehen,—,,—,,geht schief,ging schief,,schiefgegangen,,ginge schief,,—,,,—,,sein,,,"Aus2.jpg|thumb|1|„Oh, oh, hoffentlich ''geht'' das nicht ''schief!''“",Biplane crash in South Texas.jpg|thumb|1|diese [[Landung]] ''ging schief'',,,se tromper
1459,wandeln,wandle,wandele,wandelst,,wandelt,wandelte,,gewandelt,,wandelte,,wandle,wandele,,wandelt,,sein,haben,,,,,,marcher
1460,verfallen,verfalle,,verfällst,,verfällt,verfiel,,verfallen,,verfiele,,verfall,,,verfallt,,sein,,,,,,,expirer
1461,rippen,rippe,,rippst,,rippt,rippte,,gerippt,,rippte,,ripp,rippe,,rippt,,haben,,,,,,,déchirer
1462,suspendieren,suspendiere,,suspendierst,,suspendiert,suspendierte,,suspendiert,,suspendierte,,suspendiere,suspendier,,suspendiert,,haben,,,,,,,suspendre
1463,vorziehen,ziehe vor,,ziehst vor,,zieht vor,zog vor,,vorgezogen,,zöge vor,,zieh vor,,,zieht vor,,haben,,,,,,,préférer
1464,erlösen,erlöse,,erlöst,,erlöst,erlöste,,erlöst,,erlöste,,erlös,erlöse,,erlöst,,haben,,,,,,,racheter
1465,erhängen,erhänge,,erhängst,,erhängt,erhängte,,erhängt,,erhängte,,erhäng,erhänge,,erhängt,,haben,,,,,,,accrocher
1466,versinken,versinke,,versinkst,,versinkt,versank,,versunken,,versänke,,versinke,versink,,versinkt,,sein,,,,,,,couler
1467,widerfahren,—,,—,,widerfährt,widerfuhr,,widerfahren,,widerführe,,—,,,—,,sein,,,,,,,arriver
1468,spionieren,spioniere,,spionierst,,spioniert,spionierte,,spioniert,,spionierte,,spionier,spioniere,,spioniert,,haben,,,,,,,espionner
1469,schleifen,schleife,,schleifst,,schleift,schleifte,,geschleift,,schleifte,,schleife,,,schleift,,haben,,,,,,,moudre
1470,kritisieren,kritisiere,,kritisierst,,kritisiert,kritisierte,,kritisiert,,kritisierte,,kritisiere,kritisier,,kritisiert,,haben,,,,,,,critiquer
1471,qualifizieren,qualifiziere,,qualifizierst,,qualifiziert,qualifizierte,,qualifiziert,,qualifizierte,,qualifiziere,qualifizier,,qualifiziert,,haben,,,,,,,qualifier
1472,kneifen,kneife,,kneifst,,kneift,kniff,,gekniffen,,kniffe,,kneife,kneif,,kneift,,haben,,,,,,,pincer
1473,wimmeln,wimmle,wimmele,wimmelst,,wimmelt,wimmelte,,gewimmelt,,wimmelte,,wimmel,wimmle,,wimmelt,,haben,,,,,,,essaim
1474,pumpen,pumpe,,pumpst,,pumpt,pumpte,,gepumpt,,pumpte,,pump,pumpe,,pumpt,,haben,,,,,,,pompe
